null,null,null,null,กุ้งและปู (crustacean),1,0,1,0
海老,エビ,蝦,null,กุ้ง (shrimp),1,0,1,0
ロブスター,オマール,アカザエビ,null,กุ้งก้ามกราม (lobster),1,0,1,0
ブラックタイガー,null,null,null,กุ้งกุลาดำ,1,0,1,0
かに,蟹,null,null,ปู (crab),1,0,1,0
null,null,null,null,ข้าวและแป้ง (wheat),0,0,1,0
米,穀粉,米穀,null,ข้าวและแป้งข้าว (rice & flour),0,0,1,0
小麦,麦粉,メリケン粉,小麦粉,ข้าวสาลีและแป้งข้าวสาลี (wheat & wheat flour),0,0,1,0
麦,null,null,null,ข้าวบาร์เลย์ (barley),0,0,1,0
稗,粟,黍,null,ข้าวฟ่าง (millet),0,0,1,0
オート麦,オーツ,null,null,ข้าวโอ้ต (oat),0,0,1,0
麩,麩質,グルテン,null,กลูเต็น/โปรตีนในแป้งสาลี (gluten),0,0,1,0
グリアジン,null,null,null,สารไกลอาติน (glyodene),0,0,1,0
糠,小糠,米糠,null,รำข้าว (rice bran),0,0,1,0
卵,鶏卵,たまご,null,ไข่ (egg),1,0,1,0
蛋白,卵白,白味,null,ไข่ขาวและโปรตีนไข่ขาว (white egg),1,0,1,0
卵黄,黄身,null,null,ไข่แดง (egg yolk),1,0,1,0
乳化剤,null,null,null,mushbooh อิมัลซิไฟเออร์ (emulsifier),1,1,1,0
ごま,ゴマ,null,null,งา (sesame),0,0,1,0
null,null,null,null,ถั่ว (nuts & beans),0,0,1,0
餡,ダル,小豆,null,ถั่วแดง (red beans),0,0,1,0
ピーカン,ペカン,null,null,พีแคนนัท (peacan),0,0,1,0
大豆油,豆油,大豆,null,ถั่วเหลืองและน้ำมันถั่วเหลือง (beans oil & soya beans),0,0,1,0
そら豆,空豆,蚕豆,null,ถั่วปากอ้า (broad beans/horse beans),0,0,1,0
ピーナッツ,落花生,ピーナツ,null,ถั่วลิสง (peanuts),0,0,1,0
アモンド,アーモンド,null,null,อัลมอนต์ (almonds),0,0,1,0
はしばみの実,榛,ヘーゼルナッツ,null,เฮเซลนัท (hazelnut),0,0,1,0
くるみ ,胡桃油,ウォールナット,胡桃,วอลนัทและน้ำมันวอลนัท (walnuts),0,0,1,0
カシューナッツ,null,null,null,เม็ดมะม่วงหิมพานต์ (cashew nuts),0,0,1,0
ピーナッツバター,null,null,null,เนยถั่ว (peanuts butter),0,0,1,0
溜まり醤油,薄口醤油,醤油,null,ซอสถั่วเหลือง (soy sauce),0,0,1,0
